date,value
2016-05-09,23104
2016-05-10,22131
2016-05-11,23289
2016-05-12,24580
2016-05-13,21921
2016-05-14,21898
2016-05-15,24594
2016-05-16,23351
2016-05-17,21471
2016-05-18,22963
2016-05-19,21427
2016-05-20,21397
2016-05-21,22431
2016-05-22,19169
2016-05-23,19423
2016-05-24,21138
2016-05-25,20432
2016-05-26,22392
2016-05-27,20528
2016-05-28,19740
2016-05-29,24025
2016-05-30,21455
2016-05-31,21862
2016-06-01,19591
2016-06-02,20877
2016-06-03,21826
2016-06-04,19899
2016-06-05,22154
2016-06-06,20654
2016-06-07,21082
2016-06-08,20581
2016-06-09,24225
2016-06-10,21390
2016-06-11,19786
2016-06-12,22570
2016-06-13,19467
2016-06-14,21574
2016-06-15,18283
2016-06-16,19191
2016-06-17,21440
2016-06-18,22214
2016-06-19,21324
2016-06-20,20855
2016-06-21,20537
2016-06-22,18732
2016-06-23,19830
2016-06-24,20179
2016-06-25,22416
2016-06-26,21306
2016-06-27,18106
2016-06-28,21197
2016-06-29,20093
2016-06-30,19615
2016-07-01,21508
2016-07-02,22097
2016-07-03,21907
2016-07-04,19211
2016-07-05,19966
2016-07-06,20887
2016-07-07,21814
2016-07-08,19592
2016-07-09,19993
2016-07-10,18572
2016-07-11,18398
2016-07-12,21372
2016-07-13,22148
2016-07-14,19967
2016-07-15,21542
2016-07-16,20541
2016-07-17,18992
2016-07-18,20464
2016-07-19,22191
2016-07-20,19793
2016-07-21,22157
2016-07-22,15843
2016-07-23,20969
2016-07-24,19831
2016-07-25,19216
2016-07-26,19767
2016-07-27,16613
2016-07-28,19230
2016-07-29,20061
2016-07-30,21708
2016-07-31,18680
2016-08-01,18212
2016-08-02,18640
2016-08-03,20733
2016-08-04,19822
2016-08-05,18503
2016-08-06,20037
2016-08-07,19383
2016-08-08,20660
2016-08-09,18125
2016-08-10,18658
2016-08-11,18534
2016-08-12,16900
2016-08-13,19512
2016-08-14,19434
2016-08-15,19024
2016-08-16,18640
2016-08-17,16845
2016-08-18,18313
2016-08-19,18407
2016-08-20,17695
2016-08-21,18635
2016-08-22,19463
2016-08-23,21666
2016-08-24,19079
2016-08-25,19184
2016-08-26,18668
2016-08-27,15885
2016-08-28,18706
2016-08-29,18821
2016-08-30,22410
2016-08-31,18412
2016-09-01,19140
2016-09-02,18623
2016-09-03,16910
2016-09-04,20366
2016-09-05,19769
2016-09-06,19818
2016-09-07,17259
2016-09-08,20719
2016-09-09,16505
2016-09-10,19482
2016-09-11,21882
2016-09-12,17106
2016-09-13,17739
2016-09-14,18735
2016-09-15,17828
2016-09-16,16256
2016-09-17,18684
2016-09-18,16989
2016-09-19,19294
2016-09-20,17207
2016-09-21,20914
2016-09-22,17418
2016-09-23,18115
2016-09-24,19824
2016-09-25,16764
2016-09-26,18959
2016-09-27,20587
2016-09-28,16225
2016-09-29,18923
2016-09-30,19047
2016-10-01,19842
2016-10-02,16827
2016-10-03,16715
2016-10-04,19493
2016-10-05,19172
2016-10-06,19118
2016-10-07,19280
2016-10-08,17758
2016-10-09,19146
2016-10-10,19257
2016-10-11,17766
2016-10-12,21658
2016-10-13,19593
2016-10-14,17119
2016-10-15,19915
2016-10-16,17493
2016-10-17,20162
2016-10-18,20746
2016-10-19,17805
2016-10-20,20509
2016-10-21,19713
2016-10-22,20357
2016-10-23,22000
2016-10-24,18819
2016-10-25,18089
2016-10-26,17919
2016-10-27,18064
2016-10-28,19207
2016-10-29,19870
2016-10-30,19810
2016-10-31,20673
2016-11-01,19490
2016-11-02,21690
2016-11-03,19152
2016-11-04,23670
2016-11-05,20569
2016-11-06,18387
2016-11-07,18109
2016-11-08,20482
2016-11-09,19467
2016-11-10,20918
2016-11-11,20602
2016-11-12,19829
2016-11-13,18715
2016-11-14,17760
2016-11-15,19411
2016-11-16,21413
2016-11-17,20499
2016-11-18,18359
2016-11-19,20538
2016-11-20,20907
2016-11-21,19055
2016-11-22,20663
2016-11-23,20573
2016-11-24,18824
2016-11-25,21129
2016-11-26,21488
2016-11-27,22326
2016-11-28,22337
2016-11-29,18745
2016-11-30,19461
2016-12-01,21697
2016-12-02,21752
2016-12-03,21811
2016-12-04,26875
2016-12-05,22011
2016-12-06,22916
2016-12-07,22703
2016-12-08,22308
2016-12-09,20918
2016-12-10,22589
2016-12-11,20351
2016-12-12,21216
2016-12-13,20904
2016-12-14,21816
2016-12-15,25226
2016-12-16,19015
2016-12-17,22907
2016-12-18,19520
2016-12-19,21293
2016-12-20,23697
2016-12-21,22222
2016-12-22,20572
2016-12-23,21178
2016-12-24,23333
2016-12-25,21281
2016-12-26,22764
2016-12-27,22571
2016-12-28,21588
2016-12-29,25845
2016-12-30,23643
2016-12-31,19717
2017-01-01,23059
2017-01-02,21850
2017-01-03,24184
2017-01-04,21780
2017-01-05,22859
2017-01-06,23852
2017-01-07,24456
2017-01-08,21420
2017-01-09,22781
2017-01-10,22633
2017-01-11,22427
2017-01-12,26118
2017-01-13,24139
2017-01-14,21702
2017-01-15,25031
2017-01-16,26899
2017-01-17,25326
2017-01-18,21559
2017-01-19,23172
2017-01-20,25859
2017-01-21,22957
2017-01-22,24744
2017-01-23,25299
2017-01-24,22806
2017-01-25,24166
2017-01-26,19451
2017-01-27,22834
2017-01-28,24050
2017-01-29,22614
2017-01-30,26991
2017-01-31,22453
2017-02-01,23994
2017-02-02,24905
2017-02-03,26926
2017-02-04,22665
2017-02-05,26617
2017-02-06,24941
2017-02-07,23506
2017-02-08,25723
2017-02-09,25381
2017-02-10,24233
2017-02-11,25288
2017-02-12,24656
2017-02-13,25453
2017-02-14,26325
2017-02-15,27759
2017-02-16,23570
2017-02-17,28674
2017-02-18,22592
2017-02-19,25338
2017-02-20,26493
2017-02-21,26076
2017-02-22,24764
2017-02-23,25429
2017-02-24,25043
2017-02-25,24940
2017-02-26,27139
2017-02-27,26440
2017-02-28,24904
2017-03-01,27332
2017-03-02,26481
2017-03-03,27276
2017-03-04,27037
2017-03-05,24884
2017-03-06,25322
2017-03-07,27317
2017-03-08,27145
2017-03-09,26230
2017-03-10,26468
2017-03-11,28239
2017-03-12,25465
2017-03-13,27202
2017-03-14,26106
2017-03-15,26110
2017-03-16,28111
2017-03-17,27726
2017-03-18,27733
2017-03-19,28494
2017-03-20,26590
2017-03-21,27604
2017-03-22,26136
2017-03-23,27108
2017-03-24,26446
2017-03-25,26805
2017-03-26,27570
2017-03-27,25466
2017-03-28,29848
2017-03-29,25215
2017-03-30,24917
2017-03-31,28489
2017-04-01,27951
2017-04-02,27711
2017-04-03,27728
2017-04-04,26777
2017-04-05,25458
2017-04-06,26925
2017-04-07,25803
2017-04-08,28287
2017-04-09,26609
2017-04-10,25596
2017-04-11,26355
2017-04-12,27459
2017-04-13,25996
2017-04-14,25609
2017-04-15,27208
2017-04-16,27209
2017-04-17,26079
2017-04-18,26130
2017-04-19,27181
2017-04-20,24657
2017-04-21,24713
2017-04-22,25740
2017-04-23,26491
2017-04-24,27269
2017-04-25,29008
2017-04-26,28072
2017-04-27,26535
2017-04-28,26736
2017-04-29,25249
2017-04-30,26712
2017-05-01,26293
2017-05-02,27196
2017-05-03,25457
2017-05-04,27461
2017-05-05,28965
2017-05-06,26485
2017-05-07,27233
2017-05-08,27647
2017-05-09,25991
2017-05-10,26909
2017-05-11,26571
2017-05-12,26677
2017-05-13,25349
2017-05-14,26523
2017-05-15,27209
2017-05-16,28615
2017-05-17,27853
2017-05-18,29618
2017-05-19,25211
2017-05-20,27644
2017-05-21,26584
2017-05-22,29566
2017-05-23,25040
2017-05-24,24964
2017-05-25,25295
2017-05-26,22979
2017-05-27,25345
2017-05-28,24964
2017-05-29,26297
2017-05-30,26552
2017-05-31,28822
2017-06-01,27400
2017-06-02,25076
2017-06-03,24560
2017-06-04,26611
2017-06-05,23858
2017-06-06,28551
2017-06-07,27538
2017-06-08,25029
2017-06-09,23127
2017-06-10,27691
2017-06-11,25452
2017-06-12,27443
2017-06-13,23157
2017-06-14,24612
2017-06-15,25481
2017-06-16,25506
2017-06-17,24722
2017-06-18,26293
2017-06-19,23718
2017-06-20,25067
2017-06-21,25422
2017-06-22,25974
2017-06-23,26230
2017-06-24,23436
2017-06-25,22782
2017-06-26,26960
2017-06-27,25502
2017-06-28,23841
2017-06-29,27251
2017-06-30,25057
2017-07-01,26613
2017-07-02,24905
2017-07-03,27855
2017-07-04,27356
2017-07-05,24310
2017-07-06,26101
2017-07-07,25572
2017-07-08,26617
2017-07-09,23077
2017-07-10,25513
2017-07-11,26033
2017-07-12,21767
2017-07-13,22591
2017-07-14,21268
2017-07-15,23884
2017-07-16,25326
2017-07-17,26465
2017-07-18,24284
2017-07-19,26578
2017-07-20,22027
2017-07-21,21505
2017-07-22,23940
2017-07-23,24562
2017-07-24,23901
2017-07-25,20813
2017-07-26,23744
2017-07-27,21886
2017-07-28,24812
2017-07-29,24323
2017-07-30,22329
2017-07-31,22934
2017-08-01,22082
2017-08-02,23544
2017-08-03,25038
2017-08-04,22095
2017-08-05,24298
2017-08-06,22716
2017-08-07,22291
2017-08-08,23290
2017-08-09,21868
2017-08-10,22561
2017-08-11,21567
2017-08-12,26283
2017-08-13,23361
2017-08-14,22232
2017-08-15,23576
2017-08-16,23061
2017-08-17,22874
2017-08-18,24102
2017-08-19,24294
2017-08-20,22339
2017-08-21,22249
2017-08-22,22678
2017-08-23,19617
2017-08-24,20777
2017-08-25,25080
2017-08-26,25479
2017-08-27,22620
2017-08-28,23841
2017-08-29,23426
2017-08-30,27562
2017-08-31,24608
2017-09-01,22722
2017-09-02,21467
2017-09-03,20478
2017-09-04,23181
2017-09-05,21730
2017-09-06,20721
2017-09-07,21875
2017-09-08,21214
2017-09-09,25359
2017-09-10,24144
2017-09-11,22803
2017-09-12,25030
2017-09-13,22921
2017-09-14,21509
2017-09-15,25083
2017-09-16,23605
2017-09-17,21239
2017-09-18,22509
2017-09-19,21482
2017-09-20,20723
2017-09-21,24188
2017-09-22,25666
2017-09-23,20709
2017-09-24,23656
2017-09-25,21841
2017-09-26,22093
2017-09-27,21943
2017-09-28,21544
2017-09-29,22922
2017-09-30,21613
2017-10-01,23276
2017-10-02,22807
2017-10-03,22537
2017-10-04,21548
2017-10-05,22059
2017-10-06,24073
2017-10-07,23707
2017-10-08,21507
2017-10-09,23140
2017-10-10,24138
2017-10-11,20526
2017-10-12,23866
2017-10-13,22079
2017-10-14,23952
2017-10-15,21974
2017-10-16,20436
2017-10-17,20727
2017-10-18,23267
2017-10-19,23611
2017-10-20,21893
2017-10-21,24236
2017-10-22,20815
2017-10-23,23238
2017-10-24,21552
2017-10-25,22422
2017-10-26,23504
2017-10-27,22176
2017-10-28,22924
2017-10-29,25045
2017-10-30,22706
2017-10-31,24862
2017-11-01,21951
2017-11-02,24479
2017-11-03,25885
2017-11-04,20055
2017-11-05,22607
2017-11-06,24710
2017-11-07,23581
2017-11-08,24485
2017-11-09,23066
2017-11-10,24146
2017-11-11,23827
2017-11-12,25857
2017-11-13,24533
2017-11-14,24705
2017-11-15,23628
2017-11-16,23562
2017-11-17,23693
2017-11-18,24983
2017-11-19,23810
2017-11-20,24926
2017-11-21,27656
2017-11-22,25901
2017-11-23,24157
2017-11-24,26501
2017-11-25,24140
2017-11-26,21748
2017-11-27,23348
2017-11-28,22108
2017-11-29,24442
2017-11-30,25053
2017-12-01,27596
2017-12-02,25628
2017-12-03,24866
2017-12-04,26496
2017-12-05,21993
2017-12-06,25721
2017-12-07,26583
2017-12-08,23267
2017-12-09,27260
2017-12-10,26112
2017-12-11,25041
2017-12-12,26673
2017-12-13,29191
2017-12-14,26118
2017-12-15,26279
2017-12-16,25278
2017-12-17,24754
2017-12-18,27336
2017-12-19,24868
2017-12-20,26322
2017-12-21,25560
2017-12-22,27058
2017-12-23,26902
2017-12-24,28021
2017-12-25,25762
2017-12-26,26185
2017-12-27,25185
2017-12-28,26050
2017-12-29,27345
2017-12-30,27978
2017-12-31,25522
2018-01-01,28286
2018-01-02,29078
2018-01-03,27728
2018-01-04,29986
2018-01-05,26073
2018-01-06,25429
2018-01-07,24691
2018-01-08,29666
2018-01-09,28466
2018-01-10,27463
2018-01-11,28029
2018-01-12,25983
2018-01-13,31402
2018-01-14,27989
2018-01-15,28020
2018-01-16,29006
2018-01-17,28700
2018-01-18,28375
2018-01-19,26914
2018-01-20,28867
2018-01-21,31043
2018-01-22,30298
2018-01-23,30729
2018-01-24,27631
2018-01-25,26972
2018-01-26,28326
2018-01-27,28656
2018-01-28,30272
2018-01-29,26149
2018-01-30,31038
2018-01-31,28563
2018-02-01,28215
2018-02-02,27393
2018-02-03,26484
2018-02-04,30255
2018-02-05,29184
2018-02-06,27192
2018-02-07,27237
2018-02-08,28728
2018-02-09,31787
2018-02-10,28946
2018-02-11,27131
2018-02-12,29067
2018-02-13,29076
2018-02-14,25488
2018-02-15,29500
2018-02-16,29283
2018-02-17,30720
2018-02-18,32495
2018-02-19,31457
2018-02-20,29409
2018-02-21,28197
2018-02-22,33760
2018-02-23,30032
2018-02-24,30006
2018-02-25,29990
2018-02-26,30364
2018-02-27,29890
2018-02-28,29285
2018-03-01,29364
2018-03-02,30173
2018-03-03,29443
2018-03-04,29225
2018-03-05,30489
2018-03-06,29982
2018-03-07,32654
2018-03-08,26454
2018-03-09,32100
2018-03-10,32363
2018-03-11,27415
2018-03-12,30040
2018-03-13,30026
2018-03-14,28500
2018-03-15,29471
2018-03-16,28998
2018-03-17,33318
2018-03-18,32118
2018-03-19,32645
2018-03-20,31843
2018-03-21,29089
2018-03-22,30017
2018-03-23,31558
2018-03-24,29010
2018-03-25,31931
2018-03-26,30519
2018-03-27,30333
2018-03-28,31978
2018-03-29,31593
2018-03-30,30399
2018-03-31,32692
2018-04-01,29344
